model,group,accuracy,recall,f1,pr_auc
BERT_MLP,base,0.973546,0.753694,0.78253,0.841686
BERT_MLP,multi_agent_all,0.974035,0.761802,0.787144,0.847925
BERT_MLP,multi_agent_cc,0.974274,0.762162,0.788977,0.847223
BERT_MLP,multi_agent_lc,0.974468,0.762342,0.790221,0.84651
BERT_MLP,multi_agent_ls,0.974081,0.757117,0.786461,0.845047
BERT_MLP,single_pass,0.974115,0.76018,0.787296,0.849598
ENLR,base,0.927684,0.868108,0.603627,0.793313
ENLR,multi_agent_all,0.929516,0.873694,0.611666,0.794658
ENLR,multi_agent_cc,0.929129,0.873694,0.610217,0.795246
ENLR,multi_agent_lc,0.928355,0.872252,0.607062,0.794709
ENLR,multi_agent_ls,0.929129,0.873153,0.610037,0.793573
ENLR,single_pass,0.929186,0.879099,0.611946,0.78395
LR,base,0.968549,0.865225,0.776835,0.898952
LR,multi_agent_all,0.969175,0.868468,0.780942,0.900283
LR,multi_agent_cc,0.969106,0.869189,0.780771,0.899328
LR,multi_agent_lc,0.969254,0.865766,0.780853,0.899537
LR,multi_agent_ls,0.969004,0.872613,0.780728,0.902617
LR,single_pass,0.968367,0.875495,0.777996,0.900383
MLP,base,0.98074,0.830991,0.845035,0.910785
MLP,multi_agent_all,0.980558,0.832613,0.844034,0.912924
MLP,multi_agent_cc,0.980729,0.839459,0.846322,0.913814
MLP,multi_agent_lc,0.980524,0.831351,0.843673,0.912941
MLP,multi_agent_ls,0.98025,0.827387,0.841015,0.908484
MLP,single_pass,0.981309,0.839459,0.850151,0.916672
RF,base,0.980319,0.709189,0.81929,0.918128
RF,multi_agent_all,0.980729,0.714595,0.823404,0.91824
RF,multi_agent_cc,0.980729,0.715856,0.823465,0.918816
RF,multi_agent_lc,0.980797,0.713874,0.823807,0.919667
RF,multi_agent_ls,0.980581,0.712973,0.821987,0.919297
RF,single_pass,0.980899,0.721622,0.826168,0.921323
XGBoost,base,0.980262,0.770631,0.831169,0.906163
XGBoost,multi_agent_all,0.981207,0.770991,0.837766,0.909742
XGBoost,multi_agent_cc,0.98074,0.763964,0.833093,0.907812
XGBoost,multi_agent_lc,0.980364,0.764144,0.830684,0.907536
XGBoost,multi_agent_ls,0.980171,0.757838,0.828029,0.90582
XGBoost,single_pass,0.980774,0.769009,0.834404,0.910086
